;PM10;PM2.5;Vel Viento;Precipitacion;Dir Viento;OZONO;CO;NO;NO2;NOX;SO2;Temperatura;Rad Solar;HR
01-01-2017 01:00;72;21,2;1,6;0;108;0;0;0;0;0;0;14,1;0;0
01-01-2017 02:00;43;28,6;2,3;0;122;0;0;0;0;0;0;14,4;0;0
01-01-2017 03:00;42;29,9;1,7;0;148;0;0;0;0;0;0;14;0;0
01-01-2017 04:00;0;24,2;3,1;0;142;0;0;0;0;0;0;13,8;0;0
01-01-2017 05:00;15,6;15,6;2,1;0;142;0;0;0;0;0;0;13,5;0;0
01-01-2017 06:00;17;11,2;1,3;0;104;0;0;0;0;0;0;13,4;0;0
01-01-2017 07:00;18;9,2;1,3;0;99;0;0;0;0;0;0;13,9;0;0
01-01-2017 08:00;21;9,1;1,7;0;145;0;0;0;0;0;0;15,5;0;0
01-01-2017 09:00;25;8,4;2,9;0;150;0;0;0;0;0;0;17,2;0;0
01-01-2017 10:00;31;7,3;4;0;150;0;0;0;0;0;0;18,1;0;0
01-01-2017 11:00;20;7,1;3,4;0;146;0;0;0;0;0;0;19,1;0;0
01-01-2017 12:00;33;6,4;3,7;0;159;0;0;0;0;0;0;19,3;0;0
01-01-2017 13:00;25;6;3,3;0;152;0;0;0;0;0;0;19,5;0;0
01-01-2017 14:00;27;6,6;3,5;0;178;0;0;0;0;0;0;19,3;0;0
01-01-2017 15:00;27;7,3;3;0;144;0;0;0;0;0;0;20,1;0;0
01-01-2017 16:00;15;9;2,8;0;170;0;0;0;0;0;0;19,1;0;0
01-01-2017 17:00;32;10,7;2,3;0;161;0;0;0;0;0;0;17,2;0;0
01-01-2017 18:00;29;13,2;3,1;0;180;0;0;0;0;0;0;16,8;0;0
01-01-2017 19:00;24;13;2,5;0;174;0;0;0;0;0;0;16;0;0
01-01-2017 20:00;38;13,9;2;0;161;0;0;0;0;0;0;15,7;0;0
01-01-2017 21:00;37;16,3;1,7;0;150;0;0;0;0;0;0;15,4;0;0
01-01-2017 22:00;44;17,5;0,9;0;148;0;0;0;0;0;0;15,2;0;0
01-01-2017 23:00;0;17,9;0,5;0;74;0;0;0;0;0;0;15,2;0;0
01-01-2017 24:00;0;13,3;2;0;91;0;0;0;0;0;0;15;0;0
02-01-2017 01:00;8,6;8,6;2,2;0;102;0;0;0;0;0;0;14,5;0;0
02-01-2017 02:00;6;5,5;1,6;0;103;0;0;0;0;0;0;13,9;0;0
02-01-2017 03:00;3,9;3,9;1,7;0;85;0;0;0;0;0;0;13,9;0;0
02-01-2017 04:00;7;2,9;1,5;0;88;0;0;0;0;0;0;14;0;0
02-01-2017 05:00;30;3;1,3;0;126;0;0;0;0;0;0;13,8;0;0
02-01-2017 06:00;43;9,4;1,3;0;113;0;0;0;0;0;0;13,2;0;0
02-01-2017 07:00;40;14,7;2;0;125;0;0;0;0;0;0;12,7;0;0
02-01-2017 08:00;46;18,8;2,9;0;158;0;0;0;0;0;0;14,3;0;0
02-01-2017 09:00;37;18,1;2,6;0;167;0;0;0;0;0;0;17;0;0
02-01-2017 10:00;45;16,9;3;0;177;0;0;0;0;0;0;18,6;0;0
02-01-2017 11:00;47;25,1;2,8;0;176;0;0;0;0;0;0;20,4;0;0
02-01-2017 12:00;77;21,8;3,8;0;177;0;0;0;0;0;0;21,3;0;0
02-01-2017 13:00;77;7,9;4,3;0;173;0;0;0;0;0;0;21,7;0;0
02-01-2017 14:00;54;0;4,3;0;171;0;0;0;0;0;0;20,9;0;0
02-01-2017 15:00;39;2,7;3,7;0;155;0;0;0;0;0;0;20,2;0;0
02-01-2017 16:00;37;8,7;3,1;0;143;0;0;0;0;0;0;20,6;0;0
02-01-2017 17:00;25;12,4;3,6;0;100;0;0;0;0;0;0;20,2;0;0
02-01-2017 18:00;27;11,4;2,9;0;107;0;0;0;0;0;0;18,9;0;0
02-01-2017 19:00;44;10,3;1,9;0;141;0;0;0;0;0;0;17;0;0
02-01-2017 20:00;70;15,7;2,4;0;166;0;0;0;0;0;0;15,8;0;0
02-01-2017 21:00;54;22;3,1;0;149;0;0;0;0;0;0;15;0;0
02-01-2017 22:00;43;25,3;2,6;0;148;0;0;0;0;0;0;14,4;0;0
02-01-2017 23:00;60;25,1;2,1;0;160;0;0;0;0;0;0;14,1;0;0
02-01-2017 24:00;94;24,5;1,1;0;301;0;0;0;0;0;0;12,4;0;0
03-01-2017 01:00;81;24,4;0,6;0;313;0;0;0;0;0;0;11,2;0;0
03-01-2017 02:00;45;22,7;0,8;0;155;0;0;0;0;0;0;10,8;0;0
03-01-2017 03:00;41;20;0,1;0;43;0;0;0;0;0;0;10,4;0;0
03-01-2017 04:00;39;19,2;0,5;0;166;0;0;0;0;0;0;10,6;0;0
03-01-2017 05:00;82;17,7;0,2;0;303;0;0;0;0;0;0;9,5;0;0
03-01-2017 06:00;98;22,9;0,6;0;119;0;0;0;0;0;0;9,8;0;0
03-01-2017 07:00;131;31,4;1,3;0;95;0;0;0;0;0;0;10,8;0;0
03-01-2017 08:00;70;39,7;1,7;0;101;0;0;0;0;0;0;14,4;0;0
03-01-2017 09:00;40;35,3;2;0;125;0;0;0;0;0;0;17,5;0;0
