;PM10;PM2.5;Vel Viento 10M;Precipitacion;Dir Viento 10M;OZONO;CO;NO;NO2;NOX;SO2;Temperatura;Rad Solar;HR
01-01-2017 01:00;6;3;0,1;0;108;2,4;0;23,4;6,8;30,2;0;9,1;0;82,02
01-01-2017 02:00;7;0;0,4;0;66;2,8;0;25,8;6,7;32,5;0;8,6;0;83,26
01-01-2017 03:00;16;2;0,3;0;18;2,6;0;39,7;8;47,7;0;8,5;0;83,94
01-01-2017 04:00;17;10;0,1;0;143;3;0;25;8;33;0;8,5;0;84,33
01-01-2017 05:00;13;13;0,2;0;47;2,6;0;21,8;8,8;30,6;0;8;0;83,78
01-01-2017 06:00;19;19;0,2;0;101;2,5;0;29,7;8,1;37,8;0;8,3;0;84,54
01-01-2017 07:00;14;6;0,2;0,1;17;2,8;0;38,8;7,5;46,3;0;8,9;45;84,71
01-01-2017 08:00;17;10;0,1;0;349;6;0;23,3;7;30,3;0;13;168;82,73
01-01-2017 09:00;8;7;0,8;0;243;13,8;0;7,5;2,4;9,9;0;15,9;330;64,9
01-01-2017 10:00;9;5;0,3;0;100;17,1;0;6,2;0,2;6,4;0;18,2;528;52,65
01-01-2017 11:00;5;0;1,6;0;107;16,8;0;6,8;0,6;7,4;0;18,3;583;50,03
01-01-2017 12:00;3;0;1,7;0;102;17,6;0;6,6;0,3;6,8;0;17,7;272;48,41
01-01-2017 13:00;5;0;1,7;0;91;16,4;0;7,6;1,3;9;0;18,5;388;49,52
01-01-2017 14:00;0;0;1,8;0;72;16,7;0;7,4;0,7;8,1;0;19,5;648;46,34
01-01-2017 15:00;0;0;1,4;0;102;15,7;0;8,1;1,7;9,8;0;18,8;347;47,93
01-01-2017 16:00;7;0;1,5;0;117;15,9;0;8,2;1,8;10;0;19;299;46,93
01-01-2017 17:00;10;0;1,3;0;81;16;0;8,5;1,8;10,3;0;19,8;311;46,26
01-01-2017 18:00;11;0;2,6;0;69;14,2;0;10,7;4,6;15,3;0;16,3;66;55,2
01-01-2017 19:00;11;0;1,5;0;79;12;0;11,3;7,6;18,9;0;14,6;2;63,63
01-01-2017 20:00;5;0;0,1;0;298;11,5;0;6,8;6,3;13,1;0;13,3;1;68,3
01-01-2017 21:00;5;1;0,7;0;65;6,4;0;16,6;13,8;30,5;0;12,7;1;72,37
01-01-2017 22:00;10;5;0,5;0;62;2,9;0;33,7;16,9;50,5;0;12,4;1;74,08
01-01-2017 23:00;12;11;0,1;0;349;2,6;0;25,5;13,4;38,9;0;11;0;76,49
01-01-2017 24:00;9;4;0,3;0;338;3,1;0;10,1;13,7;23,9;0;11,5;0;79,31
02-01-2017 01:00;17;1;0,2;0;92;2,5;0;32,8;12,4;45,2;0;10,6;0;78,29
02-01-2017 02:00;7;2;0,3;0;94;3,9;0;21,7;9,5;31,2;0;9,7;0;80,5
02-01-2017 03:00;3;3;0,2;0;61;6,2;0;12,7;7,9;20,6;0;10,1;0;80,68
02-01-2017 04:00;5;5;0,3;0;40;3,9;0;32,5;10,4;42,9;0;10;0;79,65
02-01-2017 05:00;35;6;0,4;0;40;2,3;0;119,7;12,9;132,6;0;9,5;0;78,88
02-01-2017 06:00;25;11;0,1;0;200;2,5;0;132;12,1;144,1;0;8,3;0;81,84
02-01-2017 07:00;26;8;0,2;0;61;2,8;0;77,9;15,2;93,1;0;9;27;84,18
02-01-2017 08:00;5;4;1,4;0;112;11;0;22,9;7,4;30,3;0;14,9;322;73,23
02-01-2017 09:00;7;2;0,6;0;116;15,4;0;10,7;4,5;15,2;0;18,4;616;52,36
02-01-2017 10:00;9;0;1,5;0;142;19,8;0;8,7;3,1;11,8;0;19,7;826;41,38
02-01-2017 11:00;2;1;1,8;0;142;19,6;0;10,6;3,9;14,4;0;20,8;997;38,84
02-01-2017 12:00;0;4;1,9;0;110;18,3;0;12,1;5,4;17,5;0;21,3;855;37,09
02-01-2017 13:00;4;3;2;0;106;19,2;0;9,5;3,3;12,8;0;21,6;962;37,54
02-01-2017 14:00;3;1;1,8;0;106;18,6;0;9,7;3,3;13;0;21,8;850;36,38
02-01-2017 15:00;6;0;2;0;109;17,7;0;12,2;5,8;17,9;0;20,6;400;36,83
02-01-2017 16:00;8;0;1,7;0;95;17,7;0;12,9;6,4;19,3;0;19,9;327;37,87
02-01-2017 17:00;7;0;2,1;0;89;18,2;0;13,1;6,6;19,7;0;20;314;35,97
02-01-2017 18:00;10;0;1,5;0;84;13,6;0;16,5;12,8;29,3;0;17,5;74;37,95
02-01-2017 19:00;18;9;0,9;0;99;5,4;0;44,9;25,1;70;0;14,3;2;48,18
02-01-2017 20:00;17;7;0,4;0;62;4,4;0;32,2;24,2;56,4;0;12,4;0;55,79
02-01-2017 21:00;27;14;0,3;0;37;2,8;0;93,9;27,5;121,3;0;10,8;0;62,74
02-01-2017 22:00;20;9;0,4;0;99;3,5;0;40,9;24,1;65,1;0;10,3;0;68,95
02-01-2017 23:00;29;11;0,3;0;23;3,1;0;73,5;23,3;96,9;0;9;0;70,44
02-01-2017 24:00;39;19;0,2;0;345;2,6;0;98,9;23;121,9;0;8,5;0;74,54
03-01-2017 01:00;41;11;0,3;0;3;2,6;0;82,2;21,2;103,4;0;7,6;0;78,17
03-01-2017 02:00;37;9;0,4;0;6;2,6;0;133,6;18,5;152,1;0;6,7;0;80,21
03-01-2017 03:00;36;12;0,3;0;14;2,6;0;89,5;19,3;108,8;0;6,6;0;82,93
03-01-2017 04:00;32;15;0,3;0;2;2,5;0;102,3;17;119,3;0;5,9;0;82,82
03-01-2017 05:00;41;20;0,3;0;40;2,6;0;151,8;19,4;171,3;0;5,9;0;84,24
03-01-2017 06:00;48;28;0,3;0;20;2,6;0;228,9;20,7;249,6;0;5,2;1;83,27
03-01-2017 07:00;75;40;0,3;0,1;11;3;0;239;22,7;261,7;0;6,3;56;84,52
03-01-2017 08:00;36;23;0,5;0;353;4,7;0;70,6;20,9;91,6;0;13,1;310;77,87
03-01-2017 09:00;27;18;1,1;0;3;10,4;0;34,7;18,2;52,8;0;16,7;610;58,71
03-01-2017 10:00;11;3;1,3;0;352;21,9;0;10,4;8,1;18,5;0;18,8;857;46,54
03-01-2017 11:00;18;6;1,3;0;29;24,4;0;8,5;5,8;14,4;0;20,2;1041;39,1
03-01-2017 12:00;12;3;1,9;0;71;22,5;0;8,4;4,5;12,9;0;21,1;1141;34,69
