;PM10;PM2.5;Vel Viento;Precipitacion;Dir Viento;OZONO;CO;NO;NO2;NOX;SO2;Temperatura;Rad Solar;HR
01-01-2017 01:00;26,5;14,8;1,3;0;114;0;0;0;0;0;0;12;0;59
01-01-2017 02:00;19,6;18,5;1,1;0;126;0;0;0;0;0;0;11,9;0;60
01-01-2017 03:00;0;15,1;1,8;0;135;0;0;0;0;0;0;12,1;0;58
01-01-2017 04:00;0;10,4;2,2;0;140;0;0;0;0;0;0;11,9;0;58
01-01-2017 05:00;0;7,6;1,6;0;132;0;0;0;0;0;0;11,8;0;59
01-01-2017 06:00;7,7;5,6;1,6;0;138;0;0;0;0;0;0;12;1;58
01-01-2017 07:00;7,2;5,8;1,8;0;118;0;0;0;0;0;0;12,5;52;57
01-01-2017 08:00;6,7;4,5;2,2;0;152;0;0;0;0;0;0;14,1;350;53
01-01-2017 09:00;9,5;1,1;3;0;136;0;0;0;0;0;0;14,2;267;52
01-01-2017 10:00;7;0;3,1;0;139;0;0;0;0;0;0;14,3;454;54
01-01-2017 11:00;2,9;0;2,7;0;133;0;0;0;0;0;0;15,9;792;48
01-01-2017 12:00;6,5;0;2,2;0;133;0;0;0;0;0;0;16;607;48
01-01-2017 13:00;12,6;0;3,6;0;148;0;0;0;0;0;0;17;1098;46
01-01-2017 14:00;0;0;2,6;0;138;0;0;0;0;0;0;17,5;841;44
01-01-2017 15:00;25,3;0;2,4;0;128;0;0;0;0;0;0;17,1;678;46
01-01-2017 16:00;19,4;0;0;0,4;98;0;0;0;0;0;0;15,6;166;52
01-01-2017 17:00;18,5;2,8;1,2;0,1;120;0;0;0;0;0;0;14,2;113;59
01-01-2017 18:00;11,2;9,2;1,8;0;136;0;0;0;0;0;0;14,9;62;54
01-01-2017 19:00;11,4;11,4;0,6;0;128;0;0;0;0;0;0;13,1;0;57
01-01-2017 20:00;12,6;12,6;0,9;0;51;0;0;0;0;0;0;12,9;0;58
01-01-2017 21:00;17;9,5;1,4;0;93;0;0;0;0;0;0;11,8;0;62
01-01-2017 22:00;16,2;9;0,1;0;43;0;0;0;0;0;0;11,7;0;63
01-01-2017 23:00;0;7,9;0,1;0;172;0;0;0;0;0;0;12,8;0;56
01-01-2017 24:00;0;5,8;1,6;0;149;0;0;0;0;0;0;12,7;0;53
02-01-2017 01:00;3,9;3,9;1,4;0;125;0;0;0;0;0;0;12;0;55
02-01-2017 02:00;7;3,1;1,1;0;115;0;0;0;0;0;0;11,9;0;56
02-01-2017 03:00;3,8;2,3;1;0;130;0;0;0;0;0;0;11,8;0;55
02-01-2017 04:00;2,4;2,4;0,2;0;125;0;0;0;0;0;0;11,6;0;57
02-01-2017 05:00;3,8;3,2;0,1;0;91;0;0;0;0;0;0;11,5;0;58
02-01-2017 06:00;9,5;3,9;1,4;0;99;0;0;0;0;0;0;10,5;0;62
02-01-2017 07:00;14;6,3;1,8;0;97;0;0;0;0;0;0;9,7;36;63
02-01-2017 08:00;21,5;8;1,6;0;99;0;0;0;0;0;0;13;392;49
02-01-2017 09:00;8,2;4,1;2,1;0;123;0;0;0;0;0;0;14,1;342;44
02-01-2017 10:00;19,9;0;2,6;5;132;0;0;0;0;0;0;15,6;790;40
02-01-2017 11:00;6,7;0;2,5;0;146;0;0;0;0;0;0;17,7;1031;37
02-01-2017 12:00;5,6;0;2,8;0;132;0;0;0;0;0;0;19,1;1268;36
02-01-2017 13:00;4,6;0;3;0;124;0;0;0;0;0;0;19,2;1124;36
02-01-2017 14:00;7,1;0;2,7;0;124;0;0;0;0;0;0;18,1;624;39
02-01-2017 15:00;0;38;0,7;0,5;311;10,9;0;0;0;0;0;14,7;163;71
02-01-2017 16:00;12,7;0;2;0;105;0;0;0;0;0;0;18;543;39
02-01-2017 17:00;13,2;0;1,9;0,1;104;0;0;0;0;0;0;17,4;259;36
02-01-2017 18:00;13,2;1,5;1,6;0;129;0;0;0;0;0;0;16,1;67;40
02-01-2017 19:00;14,3;5,7;1,2;0;111;0;0;0;0;0;0;13,2;0;46
02-01-2017 20:00;17,3;9,4;2,2;0;87;0;0;0;0;0;0;11,9;0;50
02-01-2017 21:00;17,5;12;1,9;0;78;0;0;0;0;0;0;11,3;0;52
02-01-2017 22:00;10,8;10,8;1,8;0;81;0;0;0;0;0;0;10,9;0;51
02-01-2017 23:00;9,5;8,7;1,4;0;123;0;0;0;0;0;0;10,9;0;52
02-01-2017 24:00;10,7;9,2;1,8;0;85;0;0;0;0;0;0;10,3;0;59
03-01-2017 01:00;10,1;6,2;1,7;0;96;0;0;0;0;0;0;9,6;0;59
03-01-2017 02:00;3;3;2;0;91;0;0;0;0;0;0;9;0;55
03-01-2017 03:00;0;5,1;1,9;0;83;0;0;0;0;0;0;9;0;52
03-01-2017 04:00;6,4;6,4;0,4;0;110;0;0;0;0;0;0;8,5;0;56
03-01-2017 05:00;9,1;9,1;1;0;99;0;0;0;0;0;0;8,3;0;55
